0,cero
What day is it?,¿Qué día es hoy?
What time is it?,¿Qué hora es?
What’s happening?; What’s going on?,¿Qué pasa?
What’s in this thing?,¿Qué hay en esta cosa?
What’s new?,¿Qué hay de nuevo?
What’s your name? (fam.),¿Cómo te llamas?
What’s your name? (form.),¿Cómo se llama usted?
When?,¿Cuándo?
Where (to)?,¿Adónde?
Where are you from? (fam.),¿De dónde eres?
Where are you from? (form.),¿De dónde es usted?
Which ones(s)?,¿Cuáles?
Which?,¿Cuál?
white,blanco
Whose...? (plur.),¿De quiénes...?
Whose...? (sing.),¿De quién...?
Why?,¿Por qué?
will,la voluntad
window,la ventana
with,con
without,sin
woman,la mujer
word,la palabra
yellow,amarillo
You’re welcome. (form.),No hay de qué.
You’re welcome. (inf.),De nada.
young person,el joven
