to love,encantar,encantando,encanto,encantas,encanta,encantamos,encantan,encanté,encantaste,encantó,encantamos,encantaron
to find,encontrar,encontrando,encuentro,encuentras,encuentra,encontramos,encuentran,encontré,encontraste,encontró,encontramos,encontraron
to drive crazy; to go crazy,enloquecer,enloqueciendo,enloquezco,enloqueces,enloquece,enloquecemos,enloquecen,enloquecí,enloqueciste,enloqueció,enloquecemos,enloquecieron
to teach,enseñar,enseñando,enseño,enseñas,enseña,enseñamos,enseñan,enseñé,enseñaste,enseñó,enseñamos,enseñaron
to understand,entender,entendiendo,entiendo,entiendes,entiende,entendemos,entienden,entendí,entendiste,entendió,entendimos,entendieron
to climb,escalar,escalando,escalo,escalas,escala,escalamos,escalan,escalé,escalaste,escaló,escalamos,escalaron
to choose among a set of things,escoger,escogiendo,escojo,escoges,escoge,escogemos,escogen,escojí,escogiste,escogió,escogimos,escogieron
to write,escribir,escribiendo,escribo,escribes,escribe,escribimos,escriben,escribí,escribiste,escribió,escribimos,escribieron
to listen,escuchar,escuchando,escucho,escuchas,escucha,escuchamos,escuchan,escuché,escuchaste,escuchó,escuchamos,escucharon
to wait (for); to hope,esperar,esperando,espero,esperas,espera,esperamos,esperan,esperé,esperaste,esperó,esperamos,esperaron
to ski,esquiar,esquiando,esquío,esquías,esquía,esquiamos,esquían,esquié,esquiaste,esquió,esquiamos,esquiaron
to be (estar),estar,estando,estoy,estás,está,estamos,están,estuve,estuviste,estuvo,estuvimos,estuvieron
to study,estudiar,estudiando,estudio,estudias,estudia,estudiamos,estudian,estudié,estudiaste,estudió,estudiamos,estudiaron
to explain,explicar,explicando,explico,explicas,explica,explicamos,explican,expliqué,explicaste,explicó,explicamos,explicaron
to win; to earn,ganar,ganando,gano,ganas,gana,ganamos,ganan,gané,ganaste,ganó,ganamos,ganaron
to like,gustar,gustando,gusto,gustas,gusta,gustamos,gustan,gusté,gustaste,gustó,gustamos,gustaron
to talk; to speak,hablar,hablando,hablo,hablas,habla,hablamos,hablan,hablé,hablaste,habló,hablamos,hablaron
to do; to have,hacer,haciendo,hago,haces,hace,hacemos,hacen,hice,hiciste,hizo,hicimos,hicieron
